Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
Dr. Ved Chaturvedi,Rheumatologist,"MBBS, DM - Clinical Immunology",46 Years Experience Overall  (26 years as specialist),"Old Rajendra Nagar, Delhi",Delhi,96%,(28 votes),₹ 2000 fee
Dr. Amarkishen Shetty,Gastroenterologist,"MBBS, DM - Gastroenterology",34 Years Experience Overall  (33 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,89%,(126 votes),₹ 900 fee
Dr. Shabir Ahmed,Gastroenterologist,"MBBS, DM - Gastroenterology",30 Years Experience Overall,"Koramangala 5 Block, Bangalore",Bangalore,68%,(28 votes),₹ 600 fee
Dr. Saroj Dubey,Gastroenterologist,"MBBS, DM - Gastroenterology",27 Years Experience Overall  (16 years as specialist),"Surajmal Vihar, Delhi",Delhi,97%,(87 votes),₹ 800 fee
Dr. Purushottam Vashistha,Gastroenterologist,"MBBS, DM - Gastroenterology",21 Years Experience Overall  (15 years as specialist),"Powai, Mumbai",Mumbai,88%,(111 votes),₹ 1600 fee
Dr. Parvesh Kumar Jain,Gastroenterologist,"MBBS, DM - Gastroenterology, MD - General Medicine",24 Years Experience Overall  (14 years as specialist),"Seshadripuram, Bangalore",Bangalore,67%,(18 votes),₹ 740 fee
Dr. Manoj Kumar,Gastroenterologist,"MBBS, DM - Gastroenterology, MD - Pediatrics",36 Years Experience Overall  (29 years as specialist),"Saket, Delhi",Delhi,50%,(52 votes),₹ 1200 fee
Dr. Vikas Pandey,Gastroenterologist,"MBBS, DM - Medical Gastroenterology",8 Years Experience Overall,"Parel, Mumbai",Mumbai,75%,(16 votes),₹ 2350 fee
Dr. Nandkishor S. Kabra,Pediatrician,"MBBS, DM - Neonatology, MD - Pediatrics",25 Years Experience Overall  (24 years as specialist),"Santacruz West, Mumbai",Mumbai,98%,(246 votes),₹ 1500 fee
Dr. Prashanth L K,Neurologist,"MBBS, DM - Neurology",22 Years Experience Overall  (14 years as specialist),"Millers Road, Bangalore",Bangalore,73%,(30 votes),₹ 1450 fee
Dr. B.Nataraju,Neurologist,"MBBS, DM - Neurology",48 Years Experience Overall  (30 years as specialist),"Kundalahalli, Bangalore",Bangalore,83%,(40 votes),₹ 1000 fee
Dr. Sanjiv C C,Neurologist,"MBBS, DM - Neurology",33 Years Experience Overall  (26 years as specialist),"Basavanagudi, Bangalore",Bangalore,77%,(167 votes),₹ 800 fee
Dr. Pramod M N,Neurologist,"MBBS, DM - Neurology",21 Years Experience Overall  (13 years as specialist),"Seshadripuram, Bangalore",Bangalore,99%,(94 votes),₹ 740 fee
Dr. Kalyani Dilip Karkare,Neurologist,"MBBS, DM - Neurology",19 Years Experience Overall  (13 years as specialist),"Millers Road, Bangalore",Bangalore,89%,(53 votes),₹ 1000 fee
Dr. M Veerender Kumar,Neurologist,"MBBS, DM - Neurology",44 Years Experience Overall  (37 years as specialist),"Jayanagar, Bangalore",Bangalore,90%,(63 votes),₹ 800 fee
Dr. Mohit Goel,Neurologist,"MBBS, DM - Neurology",27 Years Experience Overall  (20 years as specialist),"Saket, Delhi",Delhi,84%,(182 votes),₹ 1200 fee
Dr. Atul Prasad,Neurologist,"MBBS, DM - Neurology",38 Years Experience Overall  (31 years as specialist),"Pusa Road, Delhi",Delhi,91%,(22 votes),₹ 2200 fee
Dr. Saravanan,Neurologist,"MBBS, DM - Neurology, MD - General Medicine",16 Years Experience Overall  (10 years as specialist),"Jayanagar, Bangalore",Bangalore,63%,(72 votes),₹ 800 fee
Dr. K K Jindal,Neurologist,"MBBS, DM - Neurology, MD - General Medicine",25 Years Experience Overall  (16 years as specialist),"Shalimar Bagh, Delhi",Delhi,84%,(182 votes),₹ 1500 fee
Dr. Srikanth K P,Gastroenterologist,"MBBS, DM - Pediatric Gastroenterology",14 Years Experience Overall  (6 years as specialist),"Old Airport Road, Bangalore",Bangalore,85%,(13 votes),₹ 1100 fee
Dr. Aarti Sharma,Rheumatologist,"MBBS, DM - Rheumatology, MD - General Medicine",17 Years Experience Overall  (5 years as specialist),"Paschim Vihar, Delhi",Delhi,98%,(244 votes),₹ 800 fee
Dr. Nagamalesh U M,Cardiologist,"MBBS, DNB - Cardiology",29 Years Experience Overall  (17 years as specialist),"JP Nagar, Bangalore",Bangalore,99%,(91 votes),₹ 1050 fee
Dr. Deepak Shinde,Cardiologist,"MBBS, DNB - Cardiology",23 Years Experience Overall  (12 years as specialist),"Chembur, Mumbai",Mumbai,95%,(96 votes),₹ 1200 fee
Dr. Tabassum Khan,Cardiologist,"MBBS, DNB - Cardiology",21 Years Experience Overall  (11 years as specialist),"Goregaon West, Mumbai",Mumbai,88%,(16 votes),₹ 1200 fee
Dr. Govardhan Reddy K,Cardiologist,"MBBS, DNB - Cardiothoracic Surgery",18 Years Experience Overall  (4 years as specialist),"Sahakaranagar, Bangalore",Bangalore,100%,(33 votes),₹ 600 fee
Dr. Jai Dhingra,Dermatologist,"MBBS, DNB - Dermatology & Venereology",12 Years Experience Overall  (6 years as specialist),"Pitampura, Delhi",Delhi,99%,(173 votes),₹ 600 fee
Dr. Archana Singh,Dermatologist,"MBBS, DNB - Dermatology & Venereology",7 Years Experience Overall  (1 year as specialist),"Punjabi Bagh, Delhi",Delhi,98%,(183 votes),₹ 600 fee
Dr. Priyanka Ghuge Avhad,Dermatologist,"MBBS, DNB - Dermatology & Venereology",13 Years Experience Overall  (11 years as specialist),"Sion, Mumbai",Mumbai,96%,(45 votes),₹ 800 fee
Dr. Raashi Mehta,Dermatologist,"MBBS, DNB - Dermatology & Venereology",13 Years Experience Overall  (8 years as specialist),"Peddar Road, Mumbai",Mumbai,95%,(75 votes),₹ 1500 fee
Dr. Mansi Sanghvi,Dermatologist,"MBBS, DNB - Dermatology & Venereology",19 Years Experience Overall  (13 years as specialist),"Powai, Mumbai",Mumbai,97%,(99 votes),₹ 1200 fee
Dr. Sushrut Save,Dermatologist,"MBBS, DNB - Dermatology & Venereology",15 Years Experience Overall  (8 years as specialist),"Dadar, Mumbai",Mumbai,97%,(128 votes),₹ 1500 fee
Dr. Vrushali Rane Khan,Dermatologist,"MBBS, DNB - Dermatology & Venereology, DDVL",20 Years Experience Overall  (12 years as specialist),"Santacruz West, Mumbai",Mumbai,100%,(50 votes),₹ 1200 fee
Dr. Sadhana Deshmukh,Dermatologist,"MBBS, DNB - Dermatology & Venereology, FCPS - Dermatology, Venereology & Leprosy",20 Years Experience Overall  (17 years as specialist),"Bandra West, Mumbai",Mumbai,97%,(517 votes),₹ 2000 fee
Dr. Neelima Sharma,Dermatologist,"MBBS, DNB - Dermatology, Venereology & Leprosy",24 Years Experience Overall  (17 years as specialist),"Jayanagar 9 Block, Bangalore",Bangalore,95%,(77 votes),₹ 650 fee
Dr. Priyanka K,Dermatologist,"MBBS, DNB - Dermatology, Venereology & Leprosy, MD - Dermatology , Venereology & Leprosy",7 Years Experience Overall  (3 years as specialist),"HBR Layout, Bangalore",Bangalore,94%,(16 votes),₹ 600 fee
Dr. Pankaj Kumar,Dietitian/Nutritionist,"MBBS, DNB - Family Medicine, DNHE",16 Years Experience Overall  (3 years as specialist),"Dwarka Sector 9, Delhi",Delhi,96%,(256 votes),₹ 700 fee
Dr. Dheeraj Karanth,Gastroenterologist,"MBBS, DNB - Gastroenterology",16 Years Experience Overall  (13 years as specialist),"Malleswaram, Bangalore",Bangalore,97%,(87 votes),₹ 800 fee
Dr. Jatin Agrawal,Gastroenterologist,"MBBS, DNB - Gastroenterology, MD - General Medicine",9 Years Experience Overall  (2 years as specialist),"Saket, Delhi",Delhi,100%,(75 votes),₹ 800 fee
Dr. Atul Kakar,Rheumatologist,"MBBS, DNB - General Medicine,  FRCP, Fellowship in Rheumatology",33 Years Experience Overall  (26 years as specialist),"Old Rajendra Nagar, Delhi",Delhi,75%,(57 votes),₹ 1500 fee
Dr. Karthik Vasudevan,Cardiologist,"MBBS, DNB - General Medicine, DM - Cardiology",19 Years Experience Overall,"Yeshwanthpur, Bangalore",Bangalore,91%,(194 votes),₹ 950 fee
Dr. Sumeet Sethi,Cardiologist,"MBBS, DNB - General Medicine, DM - Cardiology",23 Years Experience Overall  (18 years as specialist),"Saket, Delhi",Delhi,98%,(166 votes),₹ 1500 fee
Dr. Vijay Kumar Chopra,Cardiologist,"MBBS, DNB - General Medicine, DM - Cardiology, FACC",40 Years Experience Overall,"Saket, Delhi",Delhi,95%,(37 votes),₹ 1500 fee
Dr. Raj Vigna Venugopal,Gastroenterologist,"MBBS, DNB - General Medicine, DM - Gastroenterology",28 Years Experience Overall  (20 years as specialist),"Old Airport Road, Bangalore",Bangalore,86%,(223 votes),₹ 1100 fee
Dr. Pratibha S,Gastroenterologist,"MBBS, DNB - General Medicine, DM - Gastroenterology",19 Years Experience Overall  (8 years as specialist),"Hulimavu, Bangalore",Bangalore,95%,(103 votes),₹ 700 fee
Dr. Jaychandran R,Neurologist,"MBBS, DNB - General Medicine, DM - Neurology",19 Years Experience Overall  (18 years as specialist),"Vasanthnagar, Bangalore",Bangalore,100%,(22 votes),₹ 1000 fee
Dr. Rahul Reddy,Neurologist,"MBBS, DNB - General Medicine, DM - Neurology",14 Years Experience Overall  (2 years as specialist),"Electronics City, Bangalore",Bangalore,98%,(59 votes),₹ 800 fee
Dr. Shobha. N,Neurologist,"MBBS, DNB - General Medicine, DM - Neurology",29 Years Experience Overall  (16 years as specialist),"Malleswaram, Bangalore",Bangalore,97%,(545 votes),₹ 800 fee
Dr. Shirish Hastak,Neurologist,"MBBS, DNB - General Medicine, DM - Neurology",43 Years Experience Overall  (34 years as specialist),"Parel, Mumbai",Mumbai,100%,(16 votes),₹ 4100 fee
Dr. AV Praveen Kumar,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",24 Years Experience Overall  (10 years as specialist),"HBR Layout, Bangalore",Bangalore,99%,(159 votes),₹ 900 fee
Dr. Raghunandan,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",28 Years Experience Overall  (12 years as specialist),"Jayanagar, Bangalore",Bangalore,97%,(29 votes),₹ 900 fee
Dr. Saikat Kanjilal,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",20 Years Experience Overall  (3 years as specialist),"Sarjapur Road, Bangalore",Bangalore,98%,(87 votes),₹ 900 fee
Dr. Prasad M Bhat,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",12 Years Experience Overall,"Yeshwanthpur, Bangalore",Bangalore,100%,(13 votes),₹ 600 fee
Dr. S S Murthy,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",26 Years Experience Overall  (10 years as specialist),"Dwarka Sector 12, Delhi",Delhi,100%,(74 votes),₹ 1200 fee
Dr. Satbir Singh,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",24 Years Experience Overall  (17 years as specialist),"Pusa Road, Delhi",Delhi,97%,(191 votes),₹ 1300 fee
Dr. Mukul Kaushik,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology",26 Years Experience Overall  (9 years as specialist),"Powai, Mumbai",Mumbai,88%,(16 votes),₹ 2600 fee
Dr. Anupama N Krishnamurthy,Gastroenterologist,"MBBS, DNB - General Medicine, DNB - Gastroenterology",16 Years Experience Overall  (12 years as specialist),"Hebbal, Bangalore",Bangalore,86%,(59 votes),₹ 850 fee
Dr. Kayal Vizhi N,Gastroenterologist,"MBBS, DNB - General Medicine, DNB - Gastroenterology",9 Years Experience Overall  (3 years as specialist),"Hebbal, Bangalore",Bangalore,93%,(15 votes),₹ 850 fee
Dr. Raghu B M,Gastroenterologist,"MBBS, DNB - General Medicine, DNB - Gastroenterology",17 Years Experience Overall  (5 years as specialist),"Hebbal, Bangalore",Bangalore,84%,(117 votes),₹ 950 fee
Dr. Rajeev Shandil,Gastroenterologist,"MBBS, DNB - General Medicine, DNB - Gastroenterology",13 Years Experience Overall,"Sarita Vihar, Delhi",Delhi,68%,(136 votes),₹ 2500 fee
Dr. Anando Sengupta,Gastroenterologist,"MBBS, DNB - General Medicine, DNB - Gastroenterology",12 Years Experience Overall  (2 years as specialist),"Patparganj, Delhi",Delhi,97%,(35 votes),₹ 700 fee
Dr. Keyur A Sheth,Gastroenterologist,"MBBS, DNB - General Medicine, DNB - Gastroenterology, CCST - Gastroenterology",21 Years Experience Overall  (10 years as specialist),"Chembur, Mumbai",Mumbai,87%,(71 votes),₹ 1500 fee
Dr. Poonam Chandra Awatare,Neurologist,"MBBS, DNB - General Medicine, DNB - Neurology",6 Years Experience Overall  (3 years as specialist),"Whitefield, Bangalore",Bangalore,92%,(52 votes),₹ 850 fee
Dr. V S Nagashree,Neurologist,"MBBS, DNB - General Medicine, DNB - Neurology",11 Years Experience Overall  (1 year as specialist),"Jayanagar, Bangalore",Bangalore,89%,(53 votes),₹ 900 fee
Dr. Nilesh  Vijay Chaudhary,Neurologist,"MBBS, DNB - General Medicine, DNB - Neurology",14 Years Experience Overall  (8 years as specialist),"Powai, Mumbai",Mumbai,97%,(34 votes),₹ 1600 fee
Dr. Pavan Pai,Neurologist,"MBBS, DNB - General Medicine, DNB - Neurology",16 Years Experience Overall  (6 years as specialist),"Mira Road, Mumbai",Mumbai,100%,(13 votes),₹ 1000 fee
Dr. Naveen Ganjoo,Gastroenterologist,"MBBS, DNB - General Medicine, Fellowship in Gastroenterology",18 Years Experience Overall  (10 years as specialist),"Rajarajeshwarinagar, Bangalore",Bangalore,91%,(11 votes),₹ 700 fee
Dr. Satyanarayana Mysore,Pulmonologist,"MBBS, DNB - General Medicine, FRACP (Respiratory Medicine & Sleep Medicine), FCCP - Pulmonary Medicine",30 Years Experience Overall  (10 years as specialist),"Old Airport Road, Bangalore",Bangalore,79%,(33 votes),₹ 1100 fee
Dr. Shaloo Bhasin Gagneja,Rheumatologist,"MBBS, DNB - General Medicine, FRCP - Rheumatology",18 Years Experience Overall  (7 years as specialist),"Janakpuri, Delhi",Delhi,99%,(165 votes),₹ 600 fee
Dr. Mohit Shetti,Gastroenterologist,"MBBS, DNB - General Medicine, MRCP (UK)",23 Years Experience Overall  (16 years as specialist),"Old Airport Road, Bangalore",Bangalore,87%,(103 votes),₹ 1100 fee
Dr. Aneesa Kapadia,Rheumatologist,"MBBS, DNB - General Medicine, MRCP (UK)",15 Years Experience Overall  (7 years as specialist),"Charni Road, Mumbai",Mumbai,100%,(23 votes),₹ 1500 fee
Dr. Prof. Shiva Kumar,Bariatric Surgeon,"MBBS, DNB - General Surgery",22 Years Experience Overall  (11 years as specialist),"Electronics City, Bangalore",Bangalore,76%,(21 votes),₹ 700 fee
Dr. Sunil Kumar B Alur,Bariatric Surgeon,"MBBS, DNB - General Surgery",25 Years Experience Overall  (13 years as specialist),"Koramangala 5 Block, Bangalore",Bangalore,97%,(59 votes),₹ 700 fee
Dr. Sreedhara V Setty,Bariatric Surgeon,"MBBS, DNB - General Surgery",20 Years Experience Overall,"Electronics City, Bangalore",Bangalore,96%,(74 votes),₹ 650 fee
Dr. Niranjan P,Bariatric Surgeon,"MBBS, DNB - General Surgery",18 Years Experience Overall  (10 years as specialist),"Jayanagar, Bangalore",Bangalore,96%,(74 votes),₹ 700 fee
Dr. Manohar S,Bariatric Surgeon,"MBBS, DNB - General Surgery",14 Years Experience Overall  (4 years as specialist),"Vasanthnagar, Bangalore",Bangalore,96%,(46 votes),₹ 400 fee
Dr. Ramesh Makam,Bariatric Surgeon,"MBBS, DNB - General Surgery",34 Years Experience Overall  (32 years as specialist),"Basavanagudi, Bangalore",Bangalore,91%,(44 votes),₹ 500 fee
Dr. Priyanka Akhilesh Sali,Bariatric Surgeon,"MBBS, DNB - General Surgery",15 Years Experience Overall  (10 years as specialist),"KR Puram, Bangalore",Bangalore,88%,(41 votes),₹ 600 fee
Dr. Deep Goel,Bariatric Surgeon,"MBBS, DNB - General Surgery",32 Years Experience Overall  (26 years as specialist),"Pusa Road, Delhi",Delhi,100%,(14 votes),₹ 1500 fee
Dr. Gauranga Saikia,Bariatric Surgeon,"MBBS, DNB - General Surgery",17 Years Experience Overall  (10 years as specialist),"Saket, Delhi",Delhi,97%,(77 votes),₹ 1000 fee
Dr. Sandeep Jain,Bariatric Surgeon,"MBBS, DNB - General Surgery",21 Years Experience Overall  (14 years as specialist),"Patparganj, Delhi",Delhi,92%,(12 votes),₹ 800 fee
Dr. Atul N.C. Peters,Bariatric Surgeon,"MBBS, DNB - General Surgery",28 Years Experience Overall  (24 years as specialist),"Saket, Delhi",Delhi,100%,(14 votes),₹ 2000 fee
Dr. Siddharth V. Nachane,Bariatric Surgeon,"MBBS, DNB - General Surgery",15 Years Experience Overall  (11 years as specialist),"Wadala, Mumbai",Mumbai,100%,(46 votes),₹ 1000 fee
Dr. Hemal Bhagat,Bariatric Surgeon,"MBBS, DNB - General Surgery, Diploma in Laparoscopy",29 Years Experience Overall  (22 years as specialist),"Andheri West, Mumbai",Mumbai,98%,(1210 votes),₹ 2000 fee
Dr. Smita Thorve,Neurosurgeon,"MBBS, DNB - General Surgery, DNB - Neurosurgery",9 Years Experience Overall  (2 years as specialist),"Chembur East, Mumbai",Mumbai,92%,(12 votes),₹ 1500 fee
Dr. Imran Shaikh,Gastroenterologist,"MBBS, DNB - General Surgery, DNB - Surgical Gastroenterology",18 Years Experience Overall  (16 years as specialist),"Mira Road, Mumbai",Mumbai,100%,(22 votes),₹ 1050 fee
Dr. Prashanth Hungund,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",27 Years Experience Overall  (16 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,47%,(17 votes),₹ 600 fee
Dr. Ajay Shetty,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",19 Years Experience Overall  (18 years as specialist),"Hebbal, Bangalore",Bangalore,91%,(151 votes),₹ 1090 fee
Dr. Ajay S Shetty,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",24 Years Experience Overall  (19 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,100%,(39 votes),₹ 950 fee
Dr. Nagarjuna Reddy,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",9 Years Experience Overall  (1 year as specialist),"Padmanabhanagar, Bangalore",Bangalore,87%,(55 votes),₹ 750 fee
Dr. V MohanKumar,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",18 Years Experience Overall  (6 years as specialist),"Hebbal, Bangalore",Bangalore,100%,(11 votes),₹ 800 fee
Dr. Praveen Joshi,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",24 Years Experience Overall  (10 years as specialist),"Old Airport Road, Bangalore",Bangalore,90%,(125 votes),₹ 850 fee
Dr. Vinay N Kaushik,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",13 Years Experience Overall  (5 years as specialist),"Sampangiramnagar, Bangalore",Bangalore,100%,(33 votes),₹ 800 fee
Dr. Harwinder Singh Chauhan,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",27 Years Experience Overall  (14 years as specialist),"Shalimar Bagh, Delhi",Delhi,98%,(226 votes),₹ 800 fee
Dr. Sachin Pahade,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",22 Years Experience Overall  (14 years as specialist),"Goregaon West, Mumbai",Mumbai,97%,(33 votes),₹ 1000 fee
Dr. Amit Gala,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",14 Years Experience Overall  (4 years as specialist),"Kandivali, Mumbai",Mumbai,88%,(16 votes),₹ 1500 fee
Dr. Nishant Kathale,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",7 Years Experience Overall  (6 years as specialist),"Chembur, Mumbai",Mumbai,75%,(16 votes),₹ 1200 fee
Dr. Vishal Diddi,Bariatric Surgeon,"MBBS, DNB - General Surgery, FCPS - General Surgery",17 Years Experience Overall  (12 years as specialist),"Andheri West, Mumbai",Mumbai,100%,(46 votes),₹ 700 fee
Dr. Ramraj V N,Bariatric Surgeon,"MBBS, DNB - General Surgery, Fellow of American College of Surgeons(FACS)",13 Years Experience Overall,"Jayanagar 3 Block, Bangalore",Bangalore,88%,(41 votes),₹ 750 fee
Dr. Anand N S,Bariatric Surgeon,"MBBS, DNB - General Surgery, Fellowship in Minimal Invasive Surgery",20 Years Experience Overall  (15 years as specialist),"Hebbal, Bangalore",Bangalore,97%,(59 votes),₹ 800 fee
Dr. Praveen K.S,Neurosurgeon,"MBBS, DNB - General Surgery, MCh - Neuro Surgery, MS - General Surgery",21 Years Experience Overall  (15 years as specialist),"Sampangiramnagar, Bangalore",Bangalore,99%,(79 votes),₹ 800 fee
Dr. Avinash T S,Urologist,"MBBS, DNB - General Surgery, MCh - Urology",22 Years Experience Overall  (15 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,98%,(95 votes),₹ 850 fee
Dr. Sayed Zaffar Karam,Urologist,"MBBS, DNB - General Surgery, MCh - Urology",12 Years Experience Overall  (2 years as specialist),"Chembur, Mumbai",Mumbai,91%,(250 votes),₹ 1200 fee
Dr. Manish Baijal,Bariatric Surgeon,"MBBS, DNB - General Surgery, MNAMS - General Surgery",30 Years Experience Overall  (27 years as specialist),"Saket, Delhi",Delhi,97%,(77 votes),₹ 1000 fee
Dr. Saurabh Vashistha,Urologist,"MBBS, DNB - General Surgery, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MCh - Urology",11 Years Experience Overall  (9 years as specialist),"Old Airport Road, Bangalore",Bangalore,29%,(17 votes),₹ 1100 fee
Dr. Vivek Bindal,Bariatric Surgeon,"MBBS, DNB - General Surgery, MS - General Surgery, MRCS (UK), FNB - Minimal Access Surgery, MNAMS - General Surgery",14 Years Experience Overall,"Patparganj, Delhi",Delhi,89%,(213 votes),₹ 1000 fee
Dr. N.S Santhosh,Neurologist,"MBBS, DNB - Neurology",21 Years Experience Overall  (9 years as specialist),"Whitefield, Bangalore",Bangalore,92%,(52 votes),₹ 700 fee
Dr. Sanjay Saxena,Neurologist,"MBBS, DNB - Neurology, DM - Neurology",24 Years Experience Overall,"Patparganj, Delhi",Delhi,94%,(16 votes),₹ 1500 fee
Dr. Murali Mohan. S,Neurosurgeon,"MBBS, DNB - Neurosurgery",22 Years Experience Overall  (14 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,77%,(13 votes),₹ 600 fee
Dr. K M Bopanna,Neurosurgeon,"MBBS, DNB - Neurosurgery",27 Years Experience Overall  (21 years as specialist),"Old Airport Road, Bangalore",Bangalore,86%,(22 votes),₹ 1100 fee
Dr. Sathwik R Shetty,Neurosurgeon,"MBBS, DNB - Neurosurgery",20 Years Experience Overall  (11 years as specialist),"Old Airport Road, Bangalore",Bangalore,100%,(16 votes),₹ 1100 fee
Dr. Shiva S Kupanur,Neurosurgeon,"MBBS, DNB - Neurosurgery",27 Years Experience Overall  (12 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,96%,(75 votes),₹ 850 fee
Dr. Vinayaka M,Neurosurgeon,"MBBS, DNB - Neurosurgery",16 Years Experience Overall  (4 years as specialist),"Whitefield, Bangalore",Bangalore,65%,(20 votes),₹ 850 fee
Dr. Hariprakash Chakravarthy,Neurosurgeon,"MBBS, DNB - Neurosurgery",22 Years Experience Overall  (12 years as specialist),"Nagasandra, Bangalore",Bangalore,100%,(20 votes),₹ 750 fee
Dr. Arjun Srivatsa,Neurosurgeon,"MBBS, DNB - Neurosurgery",32 Years Experience Overall  (28 years as specialist),"Kalyan Nagar, Bangalore",Bangalore,97%,(137 votes),₹ 1000 fee
Dr. Ajay Herur,Neurosurgeon,"MBBS, DNB - Neurosurgery",24 Years Experience Overall  (8 years as specialist),"Jayanagar, Bangalore",Bangalore,97%,(137 votes),₹ 750 fee
Dr. Abhinandhan J Gangannavar,Neurosurgeon,"MBBS, DNB - Neurosurgery",10 Years Experience Overall  (8 years as specialist),"Yeshwanthpur, Bangalore",Bangalore,100%,(42 votes),₹ 600 fee
Dr. Sharan Srinivasan,Neurosurgeon,"MBBS, DNB - Neurosurgery",22 Years Experience Overall,"Malleswaram, Bangalore",Bangalore,99%,(79 votes),₹ 800 fee
Dr. Niranjana Rajagopal,Neurosurgeon,"MBBS, DNB - Neurosurgery",14 Years Experience Overall  (8 years as specialist),"Jayanagar, Bangalore",Bangalore,99%,(79 votes),₹ 900 fee
Dr. Veekshith Shetty,Neurosurgeon,"MBBS, DNB - Neurosurgery",7 Years Experience Overall,"Millers Road, Bangalore",Bangalore,99%,(79 votes),₹ 1000 fee
Dr. Bharat Kumar S,Neurosurgeon,"MBBS, DNB - Neurosurgery",9 Years Experience Overall  (2 years as specialist),"Electronics City, Bangalore",Bangalore,97%,(235 votes),₹ 750 fee
Dr. Raghuram G,Neurosurgeon,"MBBS, DNB - Neurosurgery",16 Years Experience Overall  (13 years as specialist),"KR Puram, Bangalore",Bangalore,92%,(361 votes),₹ 1200 fee
Dr. Rohit Bansil,Neurologist,"MBBS, DNB - Neurosurgery",15 Years Experience Overall  (7 years as specialist),"Pusa Road, Delhi",Delhi,69%,(109 votes),₹ 1500 fee
Dr. Sachin Kandhari,Neurosurgeon,"MBBS, DNB - Neurosurgery",20 Years Experience Overall  (9 years as specialist),"Lajpat Nagar, Delhi",Delhi,91%,(11 votes),₹ 1200 fee
Dr. Dewaker Sharma,Neurosurgeon,"MBBS, DNB - Neurosurgery",20 Years Experience Overall,"Lajpat Nagar, Delhi",Delhi,91%,(11 votes),₹ 1200 fee
Dr. Rohit Bansil,Neurosurgeon,"MBBS, DNB - Neurosurgery",15 Years Experience Overall  (7 years as specialist),"Pusa Road, Delhi",Delhi,83%,(30 votes),₹ 1500 fee
Dr. Sharat Garg,Neurosurgeon,"MBBS, DNB - Neurosurgery",14 Years Experience Overall  (7 years as specialist),"Saket, Delhi",Delhi,96%,(158 votes),₹ 800 fee
Dr. Zahid Khan,Neurosurgeon,"MBBS, DNB - Neurosurgery",29 Years Experience Overall  (14 years as specialist),"Saket, Delhi",Delhi,76%,(29 votes),₹ 1000 fee
Dr. Aditya Singh Bhati,Neurosurgeon,"MBBS, DNB - Neurosurgery",19 Years Experience Overall  (8 years as specialist),"Vasant Kunj, Delhi",Delhi,91%,(145 votes),₹ 1000 fee
Dr. Suresh Sankla,Neurosurgeon,"MBBS, DNB - Neurosurgery",40 Years Experience Overall  (30 years as specialist),"Parel, Mumbai",Mumbai,92%,(12 votes),₹ 1850 fee
Dr. Shradha Maheshwari,Neurosurgeon,"MBBS, DNB - Neurosurgery",19 Years Experience Overall  (12 years as specialist),"Santacruz West, Mumbai",Mumbai,92%,(12 votes),₹ 2700 fee
Dr. Ganesh Veerabhadraiah,Neurosurgeon,"MBBS, DNB - Neurosurgery, Fellowship in Interventional Neurosurgery (FINR)",22 Years Experience Overall  (10 years as specialist),"Jayanagar, Bangalore",Bangalore,99%,(79 votes),₹ 1000 fee
Dr. Richa Singh,Neurosurgeon,"MBBS, DNB - Neurosurgery, MA - Psychology, MPhil - Child and Adolescent Psychology",22 Years Experience Overall  (12 years as specialist),"New Rajendra Nagar, Delhi",Delhi,85%,(48 votes),₹ 700 fee
Dr. Anu Joseph,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",15 Years Experience Overall  (12 years as specialist),"Electronics City, Bangalore",Bangalore,96%,(252 votes),₹ 700 fee
Dr. Shilpa Haresh,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",24 Years Experience Overall  (19 years as specialist),"Bilekahalli, Bangalore",Bangalore,94%,(64 votes),₹ 300 fee
